Edad,	Estatura,	Nota Electro,	Hermanos,	Peso
22,	1.54,		4.3,		1,		50
19,	1.79,		0,		2,		71
19,	1.79,		4,		1,		73
22,	1.85,		4.3,		1,		80
20,	1.7,		3.8,		1,		60
21,	1.72,		4.1,		1,		81
31,	1.75,		0,		1,		70
20,	1.75,		4,		1,		77
21,	1.6,		0,		7,		48
20,	1.75,		3.5,		1,		72
22,	1.82,		4.2,		1,		92
24,	1.54,		4,		2,		59
29,	1.73,		4.5,		2,		65
20,	1.71,		3.2,		1,		55
22,	1.85,		4.3,		1,		80
24,	1.63,		4.7,		2,		67.3
24,	1.79,		3,		1,		87
20,	1.75,		6.7,		3,		62
20,	158,		6.7,		3,		58
