eName,semimajorAxis,eccentricity,meanRadius,mass_kg,orbit_type
Moon,3.844000000E+05,0.0549,33,7.35E+22,1
Phobos,9.376000000E+03,0.0151,33,1.06E+16,1
Deimos,2.345800000E+04,0.0002,33,2.40E+15,1
Io,4.218000000E+05,4,1821.5,8.93E+22,1
Europa,6.711000000E+05,9,1560.8,4.80E+22,1
Ganymede,1.070400000E+06,1,2631.2,1.48E+23,1
Callisto,1.882700000E+06,7,2410.3,1.08E+23,1
Amalthea,1.814000000E+05,3,84,7.50E+18,1
Himalia,1.146100000E+07,162,85,9.50E+18,1
Elara,1.174100000E+07,217,40,8.00E+17,1
Pasiphae,2.362400000E+07,409,18,3.00E+17,1
Sinope,2.393900000E+07,0.25,14,8.00E+16,1
Lysithea,1.171700000E+07,112,12,8.00E+16,1
Carme,2.340400000E+07,253,15,1.00E+17,1
Ananke,2.127600000E+07,244,10,4.00E+16,1
Leda,1.116500000E+07,164,5,6.00E+17,1
Thebe,2.219000000E+05,18,49,8.00E+17,1
Adrastea,1.290000000E+05,2,8,2.00E+15,1
Metis,1.280000000E+05,1,22,1.00E+17,1
Callirrhoe,2.410200000E+07,283,4,8.70E+14,1
Themisto,7.507000000E+06,242,4,6.90E+14,1
Megaclite,1.414670000E+07,421,2.7,2.10E+14,1
Taygete,2.336300000E+07,252,2.5,1.60E+14,1
Chaldene,2.317900000E+07,251,1.9,7.50E+13,1
Harpalyke,2.110400000E+07,226,2.2,1.20E+14,1
Kalyke,2.356400000E+07,245,2.6,1.90E+14,1
Iocaste,2.127200000E+07,216,2.6,1.90E+14,1
Erinome,2.328300000E+07,266,1.6,4.50E+13,1
Isonoe,2.323100000E+07,246,1.9,7.50E+13,1
Praxidike,2.114800000E+07,0.23,3.4,4.30E+14,1
Autonoe,2.403300000E+07,334,2,9.00E+13,1
Thyone,2.119200000E+07,229,2,9.00E+13,1
Hermippe,2.130000000E+07,0.21,2,9.00E+13,1
Aitne,2.331500000E+07,264,1.5,4.50E+13,1
Eurydome,2.314800000E+07,276,1.5,4.50E+13,1
Euanthe,2.103800000E+07,232,1.5,4.50E+13,1
Euporie,1.933900000E+07,144,1,1.50E+13,1
Orthosie,2.116400000E+07,281,1,1.50E+13,1
Sponde,2.379000000E+07,312,1,1.50E+13,1
Kale,2.330200000E+07,0.26,1,1.50E+13,1
Pasithee,2.309000000E+07,267,1,1.50E+13,1
Hegemone,2.356600000E+07,328,2,4.50E+13,1
Mneme,2.103600000E+07,227,2,1.50E+13,1
Aoede,2.396900000E+07,432,2,9.00E+13,1
Thelxinoe,2.116500000E+07,221,2,1.50E+13,1
Arche,2.335500000E+07,259,1.5,4.15E+13,1
Kallichore,2.327300000E+07,264,2,1.50E+13,1
Helike,2.106400000E+07,156,4,9.00E+13,1
Carpo,1.707800000E+07,0.43,3,4.50E+13,1
Eukelade,2.332200000E+07,272,4,9.00E+13,1
Cyllene,2.378700000E+07,319,1,1.50E+13,1
Kore,2.448600000E+07,325,1,1.50E+13,1
Herse,2.340500000E+07,0.2,2,1.50E+13,1
S/2003 J 2,2.833200000E+07,0.38,1,1.50E+13,1
Eupheme,2.023000000E+07,253,1,1.50E+13,1
S/2003 J 4,2.392800000E+07,204,1,1.50E+13,1
Eirene,2.349300000E+07,0.22,2,9.00E+13,1
S/2003 J 9,2.338500000E+07,269,0.5,1.50E+12,1
S/2003 J 10,2.304200000E+07,214,1,1.50E+13,1
S/2003 J 12,1.783500000E+07,376,0.5,1.00E+12,1
Philophrosyne,2.262200000E+07,194,1,1.50E+13,1
S/2003 J 16,2.094800000E+07,0.23,1,1.50E+13,1
S/2003 J 18,2.049400000E+07,105,1,1.50E+13,1
S/2003 J 19,2.353200000E+07,334,1,1.50E+13,1
S/2003 J 23,2.354900000E+07,309,1,1.50E+13,1
Mimas,1.855390000E+05,0.0202,396.4,3.79E+19,1
Enceladus,2.380370000E+05,0.0045,504.2,1.08E+20,1
Tethys,2.946720000E+05,0,1066,6.18E+20,1
Dione,3.774150000E+05,0.0022,1123.4,1.10E+21,1
Rhea,5.270680000E+05,1,1528.6,2.30E+21,1
Titan,1.221865000E+06,0.0292,2575,1.35E+23,1
Hyperion,1.500934000E+06,0.1042,266,5.60E+18,1
Iapetus,3.560851000E+06,0.0283,1471.2,1.81E+21,1
Phoebe,1.294791300E+07,164,214.4,8.29E+18,1
Janus,1.514600000E+05,7,33,1.90E+18,1
Epimetheus,1.514100000E+05,9,113.4,5.30E+17,1
Helene,3.774200000E+05,5,33,2.40E+16,1
Telesto,2.947100000E+05,1,33,1.00E+16,1
Calypso,2.947100000E+05,1,33,6.50E+15,1
Atlas,1.376700000E+05,0,33,7.00E+15,1
Prometheus,1.393800000E+05,0.00204,33,1.60E+17,1
Pandora,1.417200000E+05,0.0042,33,1.40E+17,1
Pan,1.335800000E+05,0,33,4.95E+15,1
Ymir,2.314040000E+07,187,9,3.97E+15,1
Paaliaq,1.502400000E+07,364,10,7.25E+15,1
Tarvos,1.826320000E+07,531,7,2.30E+15,1
Ijiraq,1.136740000E+07,316,5,1.18E+15,1
Suttungr,1.947670000E+07,114,3,2.30E+14,1
Kiviuq,1.131110000E+07,334,7,2.79E+15,1
Mundilfari,1.866790000E+07,0.21,3,2.30E+14,1
Albiorix,1.640110000E+07,469,13,2.23E+16,1
Skathi,1.561430000E+07,0.27,3,3.50E+14,1
Erriapus,1.761140000E+07,474,4,6.80E+14,1
Siarnaq,1.801540000E+07,295,16,4.35E+16,1
Thrymr,2.043960000E+07,0.47,3,2.30E+14,1
Narvi,1.941730000E+07,431,3,2.30E+14,1
Methone,1.944400000E+05,0,1.6,2.00E+13,1
Pallene,2.122800000E+05,0,33,6.00E+13,1
Polydeuces,3.772000000E+05,0,2,1.00E+13,1
Daphnis,1.365000000E+05,0,33,1.00E+14,1
Aegir,2.074980000E+07,252,3,1.50E+14,1
Bebhionn,1.711780000E+07,469,3,1.50E+14,1
Bergelmir,1.933830000E+07,142,3,1.50E+14,1
Bestla,2.027800000E+07,521,3,2.30E+14,1
Farbauti,2.038700000E+07,206,3,9.00E+13,1
